rank,title,articleTitle,year,wikipediaUrl,popularityScore,monthlyAverageViews,materialConfidence,materialSignals
128,Bust of Flora (Copy),Flora (sculpture),1500,https://en.wikipedia.org/wiki/Flora_(sculpture),1116,93,unknown,
129,Day,Day (Michelangelo),1526,https://en.wikipedia.org/wiki/Day_(Michelangelo),995,83,unknown,
130,Grave relief of Thraseas and Euandria,Grave relief of Thraseas and Euandria,350,https://en.wikipedia.org/wiki/Grave_relief_of_Thraseas_and_Euandria,962,80,unknown,
131,Ecce Homo,Ecce Homo (statue),1600,https://en.wikipedia.org/wiki/Ecce_Homo_(statue),928,77,unknown,
132,Christ of the Lanterns,Christ of the Lanterns,1794,https://en.wikipedia.org/wiki/Christ_of_the_Lanterns,851,71,unknown,
133,Monument to Vittorio Emanuele II,Monument to Vittorio Emanuele II (Turin),1880,https://en.wikipedia.org/wiki/Monument_to_Vittorio_Emanuele_II_(Turin),810,68,unknown,
134,Colonel Robert A. Smith Monument,Colonel Robert A. Smith Monument,1885,https://en.wikipedia.org/wiki/Colonel_Robert_A._Smith_Monument,794,66,unknown,
135,Dusk,Dusk (Michelangelo),1524,https://en.wikipedia.org/wiki/Dusk_(Michelangelo),744,62,unknown,
136,Attic funerary relief,Attic funerary relief (NAMA 4464),-100,https://en.wikipedia.org/wiki/Attic_funerary_relief_(NAMA_4464),572,48,unknown,
137,Grave stele,Grave stele (NAMA 7901),-550,https://en.wikipedia.org/wiki/Grave_stele_(NAMA_7901),526,44,unknown,
138,"James Garfield Memorial, Philadelphia",James A. Garfield Monument (Philadelphia),1895,https://en.wikipedia.org/wiki/James_A._Garfield_Monument_(Philadelphia),521,43,unknown,
139,Erill la Vall Descent from the Cross,Erill la Vall Descent from the Cross,1150,https://en.wikipedia.org/wiki/Erill_la_Vall_Descent_from_the_Cross,514,43,unknown,
140,Virgin from Ger,Virgin from Ger,1150,https://en.wikipedia.org/wiki/Virgin_from_Ger,511,43,unknown,
141,Fountain of the Genius of Fieravecchia,Fountain of the Genius of Fieravecchia,1500,https://en.wikipedia.org/wiki/Fountain_of_the_Genius_of_Fieravecchia,452,38,unknown,
142,Situla of the Pania,Situla of the Pania,-700,https://en.wikipedia.org/wiki/Situla_of_the_Pania,435,36,unknown,
143,Statue of George Washington,"Statue of George Washington (Newburyport, Massachusetts)",1878,https://en.wikipedia.org/wiki/Statue_of_George_Washington_(Newburyport%2C_Massachusetts),426,36,unknown,
144,Standing Youth,Standing Youth (Munich SL 162),-312,https://en.wikipedia.org/wiki/Standing_Youth_(Munich_SL_162),372,31,unknown,
145,"Adam Mickiewicz Monument, Warsaw",Statue of Adam Mickiewicz (Warsaw),1898,https://en.wikipedia.org/wiki/Statue_of_Adam_Mickiewicz_(Warsaw),334,28,unknown,
146,Candelabra Angels,Putti candle-holders,1434,https://en.wikipedia.org/wiki/Putti_candle-holders,329,27,unknown,
147,Canapone,Canapone,1846,https://en.wikipedia.org/wiki/Canapone,260,22,unknown,
148,Eastman Monument,Eastman Monument,1883,https://en.wikipedia.org/wiki/Eastman_Monument,220,18,unknown,
149,Four seasons altar,Four seasons altar of Würzburg,100,https://en.wikipedia.org/wiki/Four_seasons_altar_of_W%C3%BCrzburg,217,18,unknown,
150,Lion of Bienservida,Lion of Bienservida,-600,https://en.wikipedia.org/wiki/Lion_of_Bienservida,196,16,unknown,
151,monument to Victor Emmanuel II,"Equestrian statue of Victor Emmanuel II, Milan",1879,https://en.wikipedia.org/wiki/Equestrian_statue_of_Victor_Emmanuel_II%2C_Milan,174,15,unknown,
152,Ivriz relief,İvriz monuments,-800,https://en.wikipedia.org/wiki/%C4%B0vriz_monuments,61,5,unknown,
153,George Washington Monument,Equestrian statue of George Washington (Chicago),1900,https://en.wikipedia.org/wiki/Equestrian_statue_of_George_Washington_(Chicago),2,0,unknown,
154,Barberini ivory,Barberini ivory,525,https://en.wikipedia.org/wiki/Barberini_ivory,0,0,unknown,
155,Elephant and Obelisk,Elephant and Obelisk,-600,https://en.wikipedia.org/wiki/Elephant_and_Obelisk,0,0,unknown,
156,Bernward Doors,Bernward Doors,1015,https://en.wikipedia.org/wiki/Bernward_Doors,0,0,unknown,
157,Battersea Shield,Battersea Shield,-349,https://en.wikipedia.org/wiki/Battersea_Shield,0,0,unknown,
158,Hercules of the Forum Boarium,Hercules of the Forum Boarium,-200,https://en.wikipedia.org/wiki/Hercules_of_the_Forum_Boarium,0,0,unknown,
159,"Pulpit of Sant' Andrea, Pistoia","Pulpit of Sant' Andrea, Pistoia (Giovanni Pisano)",1298,https://en.wikipedia.org/wiki/Pulpit_of_Sant'_Andrea%2C_Pistoia_(Giovanni_Pisano),0,0,unknown,
160,Bust of Severus Alexander,Bust of Severus Alexander,225,https://en.wikipedia.org/wiki/Bust_of_Severus_Alexander,0,0,unknown,
161,Portrait of Eleanor of Aragon,Portrait of Eleanor of Aragon,1468,https://en.wikipedia.org/wiki/Portrait_of_Eleanor_of_Aragon,0,0,unknown,
162,Saint Louis of Toulouse,Saint Louis of Toulouse (Donatello),1423,https://en.wikipedia.org/wiki/Saint_Louis_of_Toulouse_(Donatello),0,0,unknown,
163,Saint Peter,Saint Peter (Brunelleschi),1412,https://en.wikipedia.org/wiki/Saint_Peter_(Brunelleschi),0,0,unknown,
164,Commodus as Hercules,Commodus as Hercules,200,https://en.wikipedia.org/wiki/Commodus_as_Hercules,0,0,unknown,
165,Cane Tago,Cane Tago,1777,https://en.wikipedia.org/wiki/Cane_Tago,0,0,unknown,
166,Portonaccio sarcophagus,Portonaccio sarcophagus,180,https://en.wikipedia.org/wiki/Portonaccio_sarcophagus,0,0,unknown,
167,equestrian statue of Ferdinando I de' Medici,Equestrian Monument of Ferdinando I,1608,https://en.wikipedia.org/wiki/Equestrian_Monument_of_Ferdinando_I,0,0,unknown,
168,The Porter,Il Facchino,1580,https://en.wikipedia.org/wiki/Il_Facchino,0,0,unknown,
169,El Caballito,Equestrian statue of Charles IV of Spain,1802,https://en.wikipedia.org/wiki/Equestrian_statue_of_Charles_IV_of_Spain,0,0,unknown,
170,Statue of John of Austria,Statue of John of Austria,1572,https://en.wikipedia.org/wiki/Statue_of_John_of_Austria,0,0,unknown,
171,Shelley Memorial,Shelley Memorial,1892,https://en.wikipedia.org/wiki/Shelley_Memorial,0,0,unknown,
172,Skidmore Fountain,Skidmore Fountain,1888,https://en.wikipedia.org/wiki/Skidmore_Fountain,0,0,unknown,
173,Signal of Peace,A Signal of Peace,1890,https://en.wikipedia.org/wiki/A_Signal_of_Peace,0,0,unknown,
174,St Bibiana,Saint Bibiana (Bernini),1624,https://en.wikipedia.org/wiki/Saint_Bibiana_(Bernini),0,0,unknown,
175,Statue of Alexander VII,Statue of Alexander VII (Bernini),1661,https://en.wikipedia.org/wiki/Statue_of_Alexander_VII_(Bernini),0,0,unknown,
176,equestrian statue of George IV,"Equestrian statue of George IV, Trafalgar Square",1843,https://en.wikipedia.org/wiki/Equestrian_statue_of_George_IV%2C_Trafalgar_Square,0,0,unknown,
177,Stephen Foster,Stephen Foster (sculpture),1900,https://en.wikipedia.org/wiki/Stephen_Foster_(sculpture),0,0,unknown,
178,Spirit of Commerce,Spirit of Commerce,1881,https://en.wikipedia.org/wiki/Spirit_of_Commerce,0,0,unknown,
179,Sultanganj Buddha,Sultanganj Buddha,500,https://en.wikipedia.org/wiki/Sultanganj_Buddha,0,0,unknown,
180,Temperance Fountain,"Temperance Fountain (Washington, D.C.)",1884,https://en.wikipedia.org/wiki/Temperance_Fountain_(Washington%2C_D.C.),0,0,unknown,
181,The Alarm,The Alarm (Boyle),1884,https://en.wikipedia.org/wiki/The_Alarm_(Boyle),0,0,unknown,
182,Thayer Monument,Thayer Monument,1883,https://en.wikipedia.org/wiki/Thayer_Monument,0,0,unknown,
183,Equestrian Monument of Cosimo I,Equestrian Monument of Cosimo I,1594,https://en.wikipedia.org/wiki/Equestrian_Monument_of_Cosimo_I,0,0,unknown,
184,The American Volunteer,The American Volunteer (statue),1876,https://en.wikipedia.org/wiki/The_American_Volunteer_(statue),0,0,unknown,
185,Head of Eutropius,Head of Eutropius,425,https://en.wikipedia.org/wiki/Head_of_Eutropius,0,0,unknown,
