rank,title,articleTitle,year,wikipediaUrl,popularityScore,monthlyAverageViews,materialConfidence,materialSignals
23,Kritios Boy,Kritios Boy,-480,https://en.wikipedia.org/wiki/Kritios_Boy,15720,1310,high,marble
24,Kroisos Kouros,Kroisos Kouros,-530,https://en.wikipedia.org/wiki/Kroisos_Kouros,14585,1215,high,marble
25,Gemma Augustea,Gemma Augustea,10,https://en.wikipedia.org/wiki/Gemma_Augustea,12901,1075,high,stone
26,Zbruch Idol,Zbruch Idol,1100,https://en.wikipedia.org/wiki/Zbruch_Idol,12440,1037,high,stone|limestone
27,Sarcophagus of Junius Bassus,Sarcophagus of Junius Bassus,350,https://en.wikipedia.org/wiki/Sarcophagus_of_Junius_Bassus,11494,958,high,marble
28,Sphinx of Naxos,Sphinx of Naxos,-559,https://en.wikipedia.org/wiki/Sphinx_of_Naxos,11441,953,high,marble
29,James A. Garfield Monument,James A. Garfield Monument,1887,https://en.wikipedia.org/wiki/James_A._Garfield_Monument,10875,906,high,granite|bronze
30,Capitoline Brutus,Capitoline Brutus,-274,https://en.wikipedia.org/wiki/Capitoline_Brutus,10613,884,high,bronze
31,Pitti Tondo,Pitti Tondo,1504,https://en.wikipedia.org/wiki/Pitti_Tondo,9972,831,high,marble
32,Monteverde Angel,Monteverde Angel,1882,https://en.wikipedia.org/wiki/Monteverde_Angel,8927,744,high,marble
33,"Group of Aphrodite, Pan and Eros","Group of Aphrodite, Pan and Eros",-99,https://en.wikipedia.org/wiki/Group_of_Aphrodite%2C_Pan_and_Eros,8777,731,high,marble
34,Brunswick Lion,Brunswick Lion,1100,https://en.wikipedia.org/wiki/Brunswick_Lion,8753,729,high,bronze
35,Lanzón,Lanzón,-500,https://en.wikipedia.org/wiki/Lanz%C3%B3n,8017,668,high,granite
36,Phra Bang,Phra Bang,100,https://en.wikipedia.org/wiki/Phra_Bang,7841,653,high,bronze
37,Antinous Mondragone,Antinous Mondragone,130,https://en.wikipedia.org/wiki/Antinous_Mondragone,7801,650,high,marble
38,Bamberg Horseman,Bamberg Horseman,1225,https://en.wikipedia.org/wiki/Bamberg_Horseman,7635,636,high,stone
39,Goethe–Schiller Monument,Goethe and Schiller Monument,1857,https://en.wikipedia.org/wiki/Goethe_and_Schiller_Monument,7302,609,high,bronze
40,Kouros of Apollonas,Kouros of Apollonas,-700,https://en.wikipedia.org/wiki/Kouros_of_Apollonas,7258,605,high,marble
41,Ludovisi Throne,Ludovisi Throne,-460,https://en.wikipedia.org/wiki/Ludovisi_Throne,6739,562,high,marble
42,Pisa Griffin,Pisa Griffin,1000,https://en.wikipedia.org/wiki/Pisa_Griffin,6726,561,high,bronze
43,Farnese Cup,Farnese Cup,-200,https://en.wikipedia.org/wiki/Farnese_Cup,5447,454,high,stone
44,Rampin Rider,Rampin Rider,-550,https://en.wikipedia.org/wiki/Rampin_Rider,3640,303,high,marble
45,Juno Ludovisi,Juno Ludovisi,100,https://en.wikipedia.org/wiki/Juno_Ludovisi,3528,294,high,marble
46,Bernward Column,Bernward Column,1000,https://en.wikipedia.org/wiki/Bernward_Column,2757,230,high,bronze
47,The Cleveland Apollo: Apollo Sauroktonos (Lizard-Slayer) or Apollo the Python-Slayer,Cleveland Apollo,-349,https://en.wikipedia.org/wiki/Cleveland_Apollo,2625,219,high,bronze
48,Strangford Apollo,Strangford Apollo,-490,https://en.wikipedia.org/wiki/Strangford_Apollo,2081,173,high,marble
49,Gilt Bronzes from Cartoceto di Pergola,Gilt Bronzes from Cartoceto di Pergola,100,https://en.wikipedia.org/wiki/Gilt_Bronzes_from_Cartoceto_di_Pergola,1841,153,high,bronze
50,Granite bowl,Granitschale im Lustgarten,1834,https://en.wikipedia.org/wiki/Granitschale_im_Lustgarten,1837,153,high,stone|granite
51,Angelic Salutation,Angelic Salutation (Stoss),1518,https://en.wikipedia.org/wiki/Angelic_Salutation_(Stoss),1771,148,high,metal
52,Statue of Giovanni delle Bande Nere,"Monument to Giovanni delle Bande Nere, Florence",1540,https://en.wikipedia.org/wiki/Monument_to_Giovanni_delle_Bande_Nere%2C_Florence,1721,143,high,marble
53,Angelitos Athena,Angelitos Athena,-480,https://en.wikipedia.org/wiki/Angelitos_Athena,1699,142,high,marble
54,Boston Throne,Boston Throne,100,https://en.wikipedia.org/wiki/Boston_Throne,1292,108,high,marble
55,Kouros,Merenda Kouros,-540,https://en.wikipedia.org/wiki/Merenda_Kouros,1232,103,high,marble
56,Sarcophagus of the Triumph of Bacchus,Sarcophagus of the Triumph of Bacchus (Lyon),300,https://en.wikipedia.org/wiki/Sarcophagus_of_the_Triumph_of_Bacchus_(Lyon),1078,90,high,marble|stone
57,Reliquary Bust of Saint Rossore,San Rossore Reliquary,1425,https://en.wikipedia.org/wiki/San_Rossore_Reliquary,844,70,high,bronze
58,Mausoleo Martinengo,Martinengo Mausoleum,1503,https://en.wikipedia.org/wiki/Martinengo_Mausoleum,699,58,high,marble|bronze
59,Madonna dell'Udienza,Madonna dell'Udienza,1515,https://en.wikipedia.org/wiki/Madonna_dell'Udienza,638,53,high,marble
60,Hildburgh Madonna,The Virgin and Child (school of Donatello),1426,https://en.wikipedia.org/wiki/The_Virgin_and_Child_(school_of_Donatello),430,36,high,marble
61,Gallo di Ramperto,Gallo di Ramperto,820,https://en.wikipedia.org/wiki/Gallo_di_Ramperto,296,25,high,copper
62,The Bowls Player,The Bowls Player,1857,https://en.wikipedia.org/wiki/The_Bowls_Player,206,17,high,bronze
63,Stone Age in America,Stone Age in America,1887,https://en.wikipedia.org/wiki/Stone_Age_in_America,0,0,high,stone
64,Whittington Stone,Whittington Stone,1821,https://en.wikipedia.org/wiki/Whittington_Stone,0,0,high,stone
65,Bronze Head from Ife,Bronze Head from Ife,1300,https://en.wikipedia.org/wiki/Bronze_Head_from_Ife,0,0,high,bronze
66,Bust of Francesco I d'Este,Bust of Francesco I d'Este,1652,https://en.wikipedia.org/wiki/Bust_of_Francesco_I_d'Este,0,0,high,marble
67,Sursock bronze,Sursock bronze,200,https://en.wikipedia.org/wiki/Sursock_bronze,0,0,high,bronze
68,Bronze man and centaur,Bronze man and centaur (Metropolitan Museum of Art),-800,https://en.wikipedia.org/wiki/Bronze_man_and_centaur_(Metropolitan_Museum_of_Art),0,0,high,bronze
69,Trevi Fountain,Trevi Fountain,1732,https://en.wikipedia.org/wiki/Trevi_Fountain,566728,47227,unknown,
70,Laocoön and His Sons,Laocoön and His Sons,-1,https://en.wikipedia.org/wiki/Laoco%C3%B6n_and_His_Sons,179183,14932,unknown,
71,Moses,Moses (Michelangelo),1510,https://en.wikipedia.org/wiki/Moses_(Michelangelo),152156,12680,unknown,
72,Lion Monument,Lion Monument,1821,https://en.wikipedia.org/wiki/Lion_Monument,127157,10596,unknown,
73,Heirloom Seal of the Realm,Heirloom Seal of the Realm,-220,https://en.wikipedia.org/wiki/Heirloom_Seal_of_the_Realm,77438,6453,unknown,
74,Hermannsdenkmal,Hermannsdenkmal,1875,https://en.wikipedia.org/wiki/Hermannsdenkmal,46450,3871,unknown,
75,Franks Casket,Franks Casket,701,https://en.wikipedia.org/wiki/Franks_Casket,28761,2397,unknown,
76,Venus Victrix,Venus Victrix (Canova),1800,https://en.wikipedia.org/wiki/Venus_Victrix_(Canova),28451,2371,unknown,
77,Madara Rider,Madara Rider,710,https://en.wikipedia.org/wiki/Madara_Rider,27115,2260,unknown,
78,Cellini Salt Cellar,Cellini Salt Cellar,1540,https://en.wikipedia.org/wiki/Cellini_Salt_Cellar,23584,1965,unknown,
79,Farnese Bull,Farnese Bull,-150,https://en.wikipedia.org/wiki/Farnese_Bull,20883,1740,unknown,
80,Napoleon as Mars the Peacemaker,Napoleon as Mars the Peacemaker,1806,https://en.wikipedia.org/wiki/Napoleon_as_Mars_the_Peacemaker,19767,1647,unknown,
81,Equestrian statue of Gattamelata,Equestrian statue of Gattamelata,1500,https://en.wikipedia.org/wiki/Equestrian_statue_of_Gattamelata,18285,1524,unknown,
