rank,uid,title,creator,estimatedArtist,estimatedPeriod,faceCount,vertexCount,likeCount,viewCount,commentCount,archiveTypes,viewerUrl,publishedAt
51,921384c784ed4b569c61c896c4b8fbbe,Thinker Rodin 4k Tris,Silas Merlin,rodin,,4114,3220,71,3436,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-921384c784ed4b569c61c896c4b8fbbe,2022-06-02T14:49:35.757896
52,d4b08e18198043ba8c3a9668089f0296,Femme voilée (la Foi ?) - Antonio Corradini,Benoît Rogez,antonio corradini,,492248,296690,77,2465,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-d4b08e18198043ba8c3a9668089f0296,2014-04-30T17:50:48
53,f0e3d5b992d54d159ee26003e239b972,David Statue,Filip,michelangelo,,168160,85259,40,5835,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f0e3d5b992d54d159ee26003e239b972,2020-05-07T00:20:33.504911
54,52548aa254dd46488f8e5d5db705e35c,Arthur St Clair Marble Statue,National Museums Scotland,jules dalou,,3237124,2227013,75,2225,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-52548aa254dd46488f8e5d5db705e35c,2020-04-08T16:21:57.786824
55,c5f60baffe534f0190b00cd74315e990,George Washington by Jean-Antoine Houdon,jerryfisher,houdon,18th century,697162,435587,55,3908,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-c5f60baffe534f0190b00cd74315e990,2016-07-09T23:14:04.900037
56,65744474f5e84079b260701307bfca02,The Three Graces listening to Cupid's song,Epic_Tree_Store,thorvaldsen,,92384,81689,79,1258,5,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-65744474f5e84079b260701307bfca02,2018-04-17T10:17:26.590219
57,acac7d89229e4acf9db47befc7ca2af5,55014 FLO Hercules Giambologna,Ancient World 3D,giambologna,renaissance,529414,324444,66,2631,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-acac7d89229e4acf9db47befc7ca2af5,2020-03-24T19:00:07.364417
58,2cc5c44b4e67438cbb26de6b20e72c79,Torso de jeune fille: Rodin,Fitzwilliam Museum,rodin,,180406,541218,64,2772,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-2cc5c44b4e67438cbb26de6b20e72c79,2020-02-12T12:04:45.984180
59,b8d4bde0991c409c8a0ed81d07381de7,Cupid and Hygieia,Geoffrey Marchal,thorvaldsen,,403900,222142,77,1443,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-b8d4bde0991c409c8a0ed81d07381de7,2016-09-16T20:28:36.914885
60,28351d2b0b02420db787aa31d0377b8f,Assia,pattarrian,donatello,,888878,532550,66,2357,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-28351d2b0b02420db787aa31d0377b8f,2017-10-12T16:36:58.739908
61,c0380c5bf9964bd6b71884b452c70bdf,Rodin - Le Baiser,Sakado,rodin,,662489,408665,70,1424,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-c0380c5bf9964bd6b71884b452c70bdf,2023-07-08T13:42:00.877055
62,e7e833942b9740239505a48049031aaf,Triumph of Silène,crlnvl,jules dalou,,373100,270172,68,1109,6,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-e7e833942b9740239505a48049031aaf,2016-05-05T15:09:22.351399
63,88c184078caa45da98c21cfe5f1d6845,1918.328 The Age of Bronze,Cleveland Museum of Art,rodin,,78096,71593,49,3206,1,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-88c184078caa45da98c21cfe5f1d6845,2023-01-05T18:46:48.698337
